   125→    "sec.ops": "Operations", "sec.infra": "Infrastructure",
   394→    "footer.tagline": "Infraestructura de pagos empresariales para la economía global.",
   395→    "footer.product": "Producto", "footer.developers": "Desarrolladores", "footer.company": "Empresa",
   396→    "footer.resources": "Recursos", "footer.legal": "Legal", "footer.security": "Seguridad",
   397→    "footer.privacy": "Privacidad", "footer.terms": "Términos", "footer.compliance": "Cumplimiento",
   398→    "footer.rights": "Todos los derechos reservados.", "footer.language": "Idioma",
   399→    "auth.brandedTitle": "Infraestructura de pagos para la", "auth.brandedAccent": "economía global",
   400→    "auth.brandedSubtitle": "Acepta tarjetas, Pix, MBWay y cripto. Gestiona cambio, tesorería y riesgo — todo en una plataforma empresarial usada por fintechs de todo el mundo.",
   401→    "auth.feature1": "99,99 % de disponibilidad, 42 ms de latencia mediana", "auth.feature2": "Más de 120 monedas, 45 países",
   402→    "auth.feature3": "PCI DSS Nivel 1, SOC 2 Tipo II", "auth.backHome": "Volver al inicio",
   403→    "auth.loginTitle": "Inicia sesión en tu cuenta", "auth.loginSubtitle": "Bienvenido de nuevo. Introduce tus credenciales para acceder al panel.",
   404→    "auth.email": "Correo electrónico", "auth.password": "Contraseña", "auth.forgot": "¿Olvidaste?",
   405→    "auth.remember": "Recuérdame durante 30 días", "auth.signinBtn": "Iniciar sesión", "auth.or": "o",
   406→    "auth.demoTitle": "Credenciales de demo", "auth.demoMerchant": "Comerciante", "auth.demoAdmin": "Administrador",
   407→    "auth.newTo": "¿Nuevo en XPayments?", "auth.requestAccess": "Solicitar acceso",
   408→    "auth.forgotTitle": "Restablece tu contraseña", "auth.forgotSubtitle": "Introduce tu correo y te enviaremos un enlace de restablecimiento.",
   409→    "auth.forgotBtn": "Enviar enlace", "auth.backSignin": "Volver a iniciar sesión",
   410→    "auth.resetTitle": "Define una nueva contraseña", "auth.resetSubtitle": "Elige una contraseña robusta para tu cuenta.",
   411→    "auth.resetBtn": "Actualizar contraseña", "auth.welcomeBack": "Bienvenido de nuevo", "auth.registerTitle": "Crea tu cuenta", "auth.registerSubtitle": "Empieza a aceptar pagos en minutos. Sin costes de configuración.", "auth.fullName": "Nombre completo", "auth.fullNamePlaceholder": "Juan Pérez", "auth.companyName": "Nombre de la organización / tienda", "auth.companyPlaceholder": "Acme S.L.", "auth.createAccount": "Crear cuenta", "auth.registerSuccess": "Cuenta creada", "auth.registerSuccessDesc": "Bienvenido a XPayments — tu espacio de comerciante está listo.", "auth.registerFailed": "Error en el registro", "auth.registerFailedDesc": "No se pudo crear la cuenta. Inténtalo de nuevo.", "auth.haveAccount": "¿Ya tienes cuenta?", "auth.signInLink": "Iniciar sesión", "auth.noAccount": "¿No tienes cuenta?", "auth.createAccountLink": "Crear cuenta", "auth.tabLogin": "Iniciar sesión", "auth.tabRegister": "Crear cuenta", "auth.welcomeMerchant": "Bienvenido",
   412→    "auth.signinFailed": "Error al iniciar sesión", "auth.signinFailedDesc": "Comprueba tus credenciales e inténtalo de nuevo.",
   413→    "auth.resetSent": "Enlace de restablecimiento enviado", "auth.resetSentDesc": "Revisa tu bandeja de entrada para las instrucciones.",
   414→    "sec.overview": "Visión general", "sec.money": "Movimiento de dinero", "sec.commerce": "Comercio",
   415→    "sec.developers": "Desarrolladores", "sec.system": "Sistema", "sec.platform": "Plataforma",
   416→    "sec.ops": "Operaciones", "sec.infra": "Infraestructura",
   417→    "nav.dashboard": "Panel", "nav.analytics": "Analytics", "nav.risk": "Centro de riesgo",
   418→    "nav.payments": "Pagamentos", "nav.wallets": "Carteras", "nav.fx": "Cambio", "nav.treasury": "Tesorería",
   419→    "nav.stores": "Tiendas", "nav.products": "Productos", "nav.customers": "Clientes",
   420→    "nav.subscriptions": "Suscripciones", "nav.paymentLinks": "Enlaces de pago", "nav.invoices": "Facturas",
   421→    "nav.apiKeys": "Claves API", "nav.webhooks": "Webhooks", "nav.settings": "Ajustes", "nav.support": "Soporte",
   422→    "nav.adminDashboard": "Visión general", "nav.adminMerchants": "Comerciantes", "nav.adminKyc": "Cola KYC",
   423→    "nav.adminTreasury": "Tesorería", "nav.adminRevenue": "Ingresos", "nav.adminGateways": "Gateways",
   424→    "nav.adminRisk": "Riesgo", "nav.adminAnalytics": "Analytics de plataforma", "nav.adminSupport": "Soporte",
   425→    "nav.adminHealth": "Salud del sistema", "nav.adminWorkers": "Workers", "nav.adminQueues": "Colas",
   426→    "nav.adminLogs": "Logs", "nav.adminFlags": "Feature flags", "nav.adminCompliance": "Cumplimiento",
   427→    "shell.workspace": "Espacio comerciante", "shell.liveMode": "Modo live",
   428→    "shell.liveModeDesc": "Estás operando en modo Live.", "shell.profile": "Perfil", "shell.billing": "Facturación",
   429→    "shell.security": "Seguridad", "shell.signout": "Cerrar sesión", "shell.signedOut": "Sesión cerrada",
   430→    "shell.notifications": "Notificaciones", "shell.markAllRead": "Marcar todo como leído",
   431→    "cmd.placeholder": "Buscar páginas, acciones…", "cmd.quickActions": "Acciones rápidas",
   432→    "cmd.exportPayments": "Exportar pagos (CSV)", "cmd.createLink": "Crear enlace de pago",
   433→  },
   434→};
   435→
